fname,sp,method,db,prct_matched,prct_not_matched
SRR6425989,Drosophila_bipectinata,lsh,gtdb,7.669347010179768,92.33065298982024
SRR6425990,Drosophila_erecta,lsh,gtdb,4.749603888542754,95.25039611145725
SRR6425991,Drosophila_ananassae,lsh,gtdb,10.151698580774235,89.84830141922576
SRR6425992,Drosophila_biarmipes,lsh,gtdb,4.086510124976019,95.91348987502398
SRR6425993,Drosophila_mauritiana,lsh,gtdb,5.196869710276476,94.80313028972353
SRR6425995,Drosophila_eugracilis,lsh,gtdb,6.424784048193971,93.57521595180603
SRR6425997,Drosophila_mojavensis,lsh,gtdb,5.9222047392274835,94.07779526077252
SRR6425998,Drosophila_persimilis,lsh,gtdb,6.411485760695852,93.58851423930415
SRR6425999,Drosophila_simulans,lsh,gtdb,3.866729820012963,96.13327017998704
SRR6426000,Drosophila_virilis,lsh,gtdb,9.838226140419964,90.16177385958004
SRR6426001,Drosophila_pseudoobscura,lsh,gtdb,5.4459039860762815,94.55409601392373
SRR6426002,Drosophila_sechellia,lsh,gtdb,5.258063165825991,94.74193683417401
SRR6426003,Drosophila_willistoni,lsh,gtdb,5.4646602718302875,94.53533972816972
SRR6426004,Drosophila_yakuba,lsh,gtdb,4.5780283693983215,95.42197163060167
